RH_X,RH_Y,RH_X_Delta,RH_Y_Delta,LH_X,LH_Y,LH_X_Delta,LH_Y_Delta,RF_X,RF_Y,RF_X_Delta,RF_Y_Delta,LF_X,LF_Y,LF_X_Delta,LF_Y_Delta,Pos_X_in,Pos_Y_in,Pos_X_px,Pos_Y_px,Width_in,Height_in,Width_px,Height_px
364,720,0,0,287,670,0,0,375,784,6,-62,234,719,0,0,0.96,2.77,230,665,0.63,0.77,151,185
325,615,-39,-105,287,670,0,0,375,784,0,0,234,719,0,0,0.96,2.64,230,634,0.65,0.68,156,163
325,615,0,0,325,615,38,-55,342,735,-33,-49,234,719,0,0,0.95,2.53,228,607,0.67,0.8,161,192
325,615,0,0,325,615,0,0,342,735,0,0,234,719,0,0,0.95,2.46,228,590,0.63,0.67,151,161
325,615,0,0,222,687,-103,72,342,735,0,0,312,670,78,-49,0.92,2.29,221,550,0.69,0.81,166,194
325,615,0,0,222,687,0,0,404,638,62,-97,312,670,0,0,1.28,2.35,307,564,0.43,0.76,103,182
325,615,0,0,356,569,134,-118,404,638,0,0,312,670,0,0,1.3,2.2,312,528,0.48,0.63,115,151
440,596,115,-19,356,569,0,0,404,638,0,0,312,670,0,0,1.3,2.2,312,528,0.5,0.63,120,151
440,596,0,0,356,569,0,0,404,638,0,0,321,651,9,-19,1.3,2.25,312,540,0.59,0.57,142,137
440,596,0,0,356,569,0,0,404,638,0,0,420,624,99,-27,1.34,2.28,322,547,0.59,0.49,142,118
440,596,0,0,356,569,0,0,488,624,84,-14,420,624,0,0,1.55,2.21,372,530,0.4,0.48,96,115
440,596,0,0,427,584,71,15,488,624,0,0,456,617,36,-7,1.55,2.22,372,533,0.51,0.47,122,113
482,574,42,-22,427,584,0,0,488,624,0,0,447,596,-9,-21,1.76,2.19,422,526,0.35,0.47,84,113
482,574,0,0,394,563,-33,-21,500,616,12,-8,447,596,0,0,1.71,2.29,410,550,0.54,0.34,130,82
482,574,0,0,394,563,0,0,464,606,-36,-10,424,596,-23,0,1.64,2.32,394,557,0.49,0.28,118,67
482,574,0,0,394,563,0,0,464,606,0,0,424,596,0,0,1.64,2.16,394,518,0.5,0.4,120,96
379,493,-103,-81,397,521,3,-42,397,579,-67,-27,375,579,-49,-17,1.65,2.03,396,487,0.34,0.5,82,120
379,493,0,0,397,521,0,0,397,579,0,0,356,546,-19,-33,1.55,1.97,372,473,0.23,0.48,55,115
379,493,0,0,377,457,-20,-64,412,535,15,-44,356,546,0,0,1.45,1.97,348,473,0.4,0.48,96,115
379,493,0,0,377,457,0,0,412,535,0,0,345,515,-11,-31,1.49,1.8,358,432,0.41,0.54,98,130
412,448,33,-45,377,457,0,0,412,535,0,0,345,515,0,0,1.45,1.77,348,425,0.43,0.49,103,118
382,463,-30,15,315,424,-62,-33,412,535,0,0,345,515,0,0,1.43,1.74,343,418,0.37,0.52,89,125
382,463,0,0,315,424,0,0,345,484,-67,-51,345,515,0,0,1.33,1.75,319,420,0.46,0.51,110,122
382,463,0,0,315,424,0,0,345,484,0,0,282,504,-63,-11,1.33,1.76,319,422,0.38,0.43,91,103
335,409,-47,-54,315,424,0,0,345,484,0,0,282,504,0,0,1.17,1.61,281,386,0.55,0.5,132,120
335,409,0,0,288,428,-27,4,345,484,0,0,282,504,0,0,1.17,1.54,281,370,0.34,0.57,82,137
335,409,0,0,288,406,0,-22,345,484,0,0,282,504,0,0,1.15,1.54,276,370,0.32,0.57,77,137
335,409,0,0,288,406,0,0,345,484,0,0,298,458,16,-46,1.17,1.61,281,386,0.3,0.5,72,120
350,400,15,-9,288,406,0,0,329,418,-16,-66,298,458,0,0,1.21,1.57,290,377,0.28,0.5,67,120
385,406,35,6,288,406,0,0,329,418,0,0,286,416,-12,-42,1.19,1.58,286,379,0.32,0.35,77,84
400,397,15,-9,391,400,103,-6,367,406,38,-12,348,406,62,-10,1.18,1.54,283,370,0.46,0.26,110,62
425,373,25,-24,391,400,0,0,367,406,0,0,348,406,0,0,1.42,1.51,341,362,0.33,0.23,79,55
425,373,0,0,330,338,-61,-62,367,406,0,0,348,406,0,0,1.48,1.49,355,358,0.34,0.23,82,55
372,362,-53,-11,304,338,-26,0,367,406,0,0,287,401,-61,-5,1.38,1.43,331,343,0.44,0.29,106,70
332,346,-40,-16,274,312,-30,-26,344,408,-23,2,287,401,0,0,1.18,1.35,283,324,0.43,0.35,103,84
332,346,0,0,274,312,0,0,293,400,-51,-8,287,401,0,0,1.15,1.28,276,307,0.32,0.45,77,108
332,346,0,0,274,312,0,0,293,400,0,0,238,390,-49,-11,1.14,1.28,274,307,0.29,0.42,70,101
